feature,mean_abs_shap
C13,0.29764012235921794
TransactionAmt,0.27010148565549746
P_emaildomain,0.1939827843159692
C14,0.18326269826687633
card2,0.17759780987505036
V70,0.17527590941760549
card6,0.158514880873448
card1,0.15227641366029676
C1,0.12555374520027665
C11,0.12539910457113757
D1,0.11747169463100067
D2,0.11344067579273447
card5,0.11294022476529512
V91,0.1120904552366969
D15,0.10767915969804322
C5,0.10750340683056825
V294,0.0948482291642872
addr1,0.09479423030360073
dist1,0.09402836604378056
ProductCD,0.09305484639315251
id_30,0.08720069647024885
DeviceInfo,0.08460647706309479
C2,0.0747200333666688
id_31,0.07226763888269044
M6,0.06748200964054295
V258,0.06691063584165709
D11,0.06403516886317495
id_20,0.062267232930944466
R_emaildomain,0.06066400054302669
D4,0.06061977517344503
